127.0.0.1 - - [24/Oct/2020:16:17:27 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Oct/2020:16:17:27 +0700] "GET /demo/index.html HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [24/Oct/2020:16:17:27 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Oct/2020:16:17:32 +0700] "GET /demo/Example? HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [24/Oct/2020:16:18:04 +0700] "GET /demo/index.html HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [24/Oct/2020:16:18:08 +0700] "GET /demo/Example?username=thanh HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [24/Oct/2020:16:21:05 +0700] "GET /demo/Example?username=thanh HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [24/Oct/2020:16:21:07 +0700] "GET /demo/index.html HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [24/Oct/2020:16:21:08 +0700] "GET /demo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2020:16:21:12 +0700] "POST /demo/Example HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [24/Oct/2020:16:25:19 +0700] "POST /demo/Example HTTP/1.1" 200 -
